probability,day_of_week,hour,days_to_deliver,delivery_distance
LOW,3,17,6,525.8847679
MEDIUM,3,17,3,337.2939835
LOW,3,17,6,702.4383573
HIGH,3,17,5,674.2112601
LOW,3,17,6,560.7905832
LOW,3,17,6,640.4953312
MEDIUM,3,17,3,346.2636453
MEDIUM,3,17,3,442.9905326
HIGH,3,17,2,291.8888063
LOW,3,17,6,838.9821543
LOW,3,17,5,373.6511754
HIGH,3,17,2,288.6228603
LOW,3,17,6,665.5658376
MEDIUM,3,17,3,363.6788579
LOW,3,17,5,579.5325732
LOW,3,17,6,809.3265743
LOW,3,17,5,541.3484596
LOW,3,17,5,537.1031703
MEDIUM,3,17,3,393.125042
LOW,3,17,5,364.771823
MEDIUM,3,17,4,483.6121218
LOW,3,17,6,475.5341067
MEDIUM,3,17,3,319.8805338
MEDIUM,3,17,4,320.1301757
LOW,3,17,5,482.1975585
LOW,3,17,6,503.420635
MEDIUM,3,17,4,406.0875041
LOW,3,17,5,411.3922052
HIGH,3,17,2,256.6352374
HIGH,3,17,2,199.0332135
MEDIUM,3,17,4,558.4713158
LOW,3,17,5,282.8670345
LOW,3,17,6,573.0433155
HIGH,3,17,2,153.0021266
LOW,3,17,6,596.3161235
LOW,3,17,6,655.2741638
LOW,3,17,5,481.8633037
LOW,3,17,5,669.8823221
HIGH,3,17,6,785.7774664
HIGH,3,17,2,216.8411275
HIGH,3,17,2,174.0198644
MEDIUM,3,17,3,373.6560159
MEDIUM,3,17,4,354.7887202
LOW,3,17,6,465.216279
MEDIUM,3,17,4,361.6178583
MEDIUM,3,17,4,419.6733843
LOW,3,17,5,546.3709499
LOW,3,17,6,554.5891113
LOW,3,17,6,657.3956085
LOW,3,17,6,304.3568704
HIGH,3,17,2,263.6210355
HIGH,3,17,2,141.8483093
MEDIUM,3,17,2,173.0965225
LOW,2,15,5,473.5910118
HIGH,2,15,2,223.5992883
LOW,2,15,6,456.7167876
LOW,2,15,6,501.9085309
HIGH,2,15,2,265.5750433
MEDIUM,2,15,4,429.8900543
MEDIUM,2,15,4,501.9722492
MEDIUM,2,15,4,438.3014847
LOW,2,15,6,720.0845555
MEDIUM,2,15,3,307.9699747
HIGH,2,15,2,207.9741718
LOW,2,15,5,345.5696132
LOW,2,15,6,743.9625435
HIGH,2,15,2,308.5862053
HIGH,2,15,2,212.4203861
HIGH,2,15,2,249.7540185
LOW,2,15,5,595.2584655
MEDIUM,2,15,4,369.2734255
LOW,2,15,6,535.9852868
MEDIUM,2,15,3,282.2094592
MEDIUM,2,15,4,414.2995826
HIGH,2,15,2,245.4212664
HIGH,2,15,2,196.3687337
MEDIUM,2,15,3,376.9876419
MEDIUM,2,15,4,471.1047809
MEDIUM,2,15,6,752.5833553
MEDIUM,2,15,3,259.7628665
LOW,2,15,6,561.3502836
MEDIUM,2,15,4,513.8746264
LOW,2,15,6,516.96658
MEDIUM,2,15,4,299.8550057
LOW,2,15,6,392.7920335
LOW,3,10,6,963.9790116
LOW,3,10,5,340.847032
MEDIUM,3,10,4,326.7851998
MEDIUM,3,10,4,443.7970021
LOW,3,10,5,367.3367991
LOW,3,10,6,679.6082376
LOW,3,10,6,554.4045054
HIGH,3,10,2,256.0421939
MEDIUM,3,10,3,222.3802066
MEDIUM,3,10,4,277.4615138
MEDIUM,3,10,6,500.4243549
HIGH,3,10,2,199.7208569
LOW,3,10,5,516.2407951
MEDIUM,3,10,3,311.1431391
HIGH,3,10,6,675.2148588
HIGH,3,10,3,267.8496676
LOW,3,10,5,698.3528039
LOW,2,23,5,471.9605001
MEDIUM,2,23,2,182.914228
MEDIUM,2,23,3,261.8428746
MEDIUM,2,23,2,268.3386154
LOW,2,23,5,568.3109685
LOW,2,23,4,429.8127439
MEDIUM,2,23,3,344.199559
MEDIUM,2,23,3,223.7486477
MEDIUM,3,14,3,277.0681475
HIGH,3,14,2,204.2642858
MEDIUM,3,14,3,267.9591678
LOW,3,14,6,628.7850612
HIGH,3,14,2,180.5921779
HIGH,3,14,2,197.0048875
HIGH,3,14,3,301.0634033
LOW,3,14,5,359.6078862
HIGH,3,14,2,214.5080057
MEDIUM,3,14,3,249.21658
LOW,3,14,6,482.0930713
MEDIUM,3,14,4,319.5986143
HIGH,3,14,2,171.0854237
LOW,3,14,6,673.1324345
HIGH,3,14,2,199.2156988
MEDIUM,3,14,4,511.9622461
MEDIUM,3,14,3,262.5094666
MEDIUM,3,14,3,288.2178069
LOW,3,14,5,406.8590765
HIGH,3,14,2,198.6346339
MEDIUM,3,14,4,447.4648684
LOW,3,14,5,467.0766988
MEDIUM,3,14,3,300.962675
HIGH,3,14,2,289.6865166
LOW,3,14,6,635.9029527
LOW,3,14,6,523.3241617
LOW,3,14,5,545.720406
LOW,3,14,5,579.9542908
MEDIUM,3,14,4,501.5990491
LOW,3,14,6,816.8886637
LOW,3,14,5,521.884607
MEDIUM,3,14,2,271.6784513
HIGH,3,14,2,246.1325839
LOW,3,14,5,466.8348845
LOW,3,2,4,336.8595235
LOW,3,2,4,556.9677208
LOW,3,2,4,388.2744023
HIGH,3,2,4,433.8604467
MEDIUM,3,2,2,230.2886517
LOW,3,2,6,542.5180407
MEDIUM,3,2,3,329.1485113
MEDIUM,3,2,2,174.33304
MEDIUM,3,2,3,401.0922392
LOW,3,2,6,747.4538599
LOW,3,2,4,279.9949197
MEDIUM,3,2,2,235.8772301
MEDIUM,3,2,3,293.8843135
LOW,3,2,6,516.8310389
HIGH,3,2,6,635.1036051
LOW,3,2,4,492.9321293
LOW,3,2,5,603.7999823
LOW,3,2,6,510.5995856
LOW,3,2,6,458.2960148
MEDIUM,3,2,3,351.3764186
MEDIUM,3,2,2,305.0061644
LOW,3,2,4,385.1709001
MEDIUM,3,2,2,210.3160694
LOW,3,2,4,570.8185523
MEDIUM,3,2,2,322.3945281
MEDIUM,3,2,3,404.0188064
MEDIUM,3,2,3,282.9373675
LOW,3,2,5,496.2263653
LOW,3,2,5,569.2259026
LOW,3,2,6,589.2398732
LOW,3,2,6,625.3895561
LOW,3,2,6,578.1261928
MEDIUM,3,2,3,330.9985198
LOW,3,2,6,768.6210071
MEDIUM,3,2,3,359.3152618
MEDIUM,3,21,2,217.1725228
LOW,3,21,5,470.6669623
LOW,3,21,4,565.2074066
LOW,3,21,6,630.9911279
LOW,3,21,4,499.7776863
LOW,3,21,6,657.4575769
LOW,3,21,4,515.9246125
MEDIUM,3,21,3,377.5583642
LOW,3,21,5,568.6091369
LOW,3,21,4,198.0959739
LOW,3,2,4,392.0973661
LOW,3,2,5,599.3718308
LOW,3,2,5,704.1352122
LOW,3,2,6,572.0817829
LOW,3,2,5,525.4753037
MEDIUM,3,2,3,318.6468735
LOW,3,2,4,312.5605407
MEDIUM,3,2,3,458.2134082
LOW,3,2,5,467.5794426
LOW,3,2,6,527.5530626
LOW,3,2,4,559.4559477
LOW,3,2,4,322.7223654
MEDIUM,3,2,2,140.2899442
MEDIUM,3,2,2,272.2268977
LOW,3,2,4,511.6071528
LOW,3,2,4,390.6993981
MEDIUM,3,2,3,300.1577726
LOW,3,2,5,493.693568
MEDIUM,3,2,3,353.0596083
LOW,2,15,5,699.5816503
LOW,2,15,6,738.4444451
MEDIUM,2,15,4,429.2792178
LOW,2,15,5,437.5351049
HIGH,2,15,5,500.6024724
MEDIUM,3,21,3,257.2655927
MEDIUM,3,21,3,404.9465495
LOW,3,21,6,715.5467546
LOW,3,21,4,378.3353955
MEDIUM,3,21,2,162.5653127
LOW,3,21,4,397.3989807
LOW,3,21,6,689.0582315
MEDIUM,3,21,3,253.3986192
MEDIUM,3,21,2,188.4148499
MEDIUM,3,21,2,248.842054
MEDIUM,3,21,3,281.6324626
LOW,3,21,4,389.0201542
MEDIUM,3,21,2,218.3795567
LOW,3,21,6,654.8329012
MEDIUM,3,21,2,198.1661724
LOW,3,21,4,312.8333682
MEDIUM,3,21,4,450.4377878
MEDIUM,3,21,2,261.7474523
LOW,3,21,4,353.3490473
LOW,3,21,4,272.7082377
LOW,3,21,6,554.4550305
HIGH,3,21,6,481.419325
LOW,3,21,4,557.4323596
LOW,3,21,5,577.776059
MEDIUM,3,21,2,201.0469402
LOW,3,21,4,483.2206472
MEDIUM,3,21,2,173.6130286
LOW,3,21,6,713.0039544
MEDIUM,3,21,2,164.4719321
LOW,3,21,6,531.3679824
LOW,3,21,5,565.0871206
LOW,3,21,5,680.2080052
MEDIUM,3,21,3,321.9543007
MEDIUM,3,21,2,292.5349747
LOW,3,21,4,344.86456
MEDIUM,3,21,3,257.0036489
MEDIUM,3,6,2,199.4855703
MEDIUM,3,6,3,255.0259896
MEDIUM,3,6,2,226.8717214
MEDIUM,3,6,2,210.0712788
MEDIUM,3,6,2,176.5110094
LOW,3,6,5,545.0121576
LOW,3,6,5,542.8877506
MEDIUM,3,6,4,513.6103346
MEDIUM,3,6,3,237.2199479
MEDIUM,3,6,4,462.2165954
MEDIUM,3,6,5,503.7279529
MEDIUM,3,6,2,243.9745715
MEDIUM,3,6,2,181.199507
MEDIUM,3,6,3,282.1046763
MEDIUM,3,6,4,562.1471135
LOW,3,6,5,549.9681598
LOW,3,6,5,613.335395
LOW,2,22,4,425.1082326
MEDIUM,2,22,2,115.8408112
MEDIUM,2,22,3,306.4919599
LOW,2,22,4,464.281217
LOW,2,22,6,534.5443552
LOW,2,22,5,599.0885963
LOW,2,22,5,626.2703577
MEDIUM,2,22,2,191.3538341
LOW,2,22,6,586.2329243
LOW,2,22,5,517.1831786
MEDIUM,2,22,2,207.3225796
LOW,2,22,6,592.5187117
LOW,3,10,5,476.557401
HIGH,3,10,2,148.8090952
MEDIUM,3,10,4,350.5604321
HIGH,3,10,2,196.730132
MEDIUM,3,10,2,139.7646182
LOW,3,10,6,663.7705695
LOW,3,10,5,577.7523249
HIGH,3,10,2,187.7257116
MEDIUM,3,10,2,201.8676222
HIGH,3,10,2,220.2893983
MEDIUM,3,10,3,299.8120039
MEDIUM,3,10,4,347.5430785
HIGH,3,10,2,229.9474561
LOW,3,10,6,563.4979817
LOW,3,10,6,509.2208296
MEDIUM,3,10,4,395.7097269
MEDIUM,3,10,4,499.6494755
MEDIUM,3,10,4,300.9499478
HIGH,3,10,2,251.7827615
HIGH,3,10,2,216.6614902
LOW,3,10,6,539.4785411
LOW,3,10,5,458.0245755
HIGH,3,10,2,288.48367
MEDIUM,3,10,3,306.5429444
MEDIUM,3,10,4,462.100372
MEDIUM,3,10,4,390.140152
HIGH,3,10,2,231.3452644
HIGH,3,10,2,204.879233
MEDIUM,3,10,4,546.4638201
LOW,3,10,6,433.9139514
MEDIUM,3,10,3,257.1038755
HIGH,2,15,3,315.8971214
LOW,2,15,5,397.0806075
MEDIUM,2,15,3,284.1309016
LOW,2,15,5,486.0008413
HIGH,2,15,2,228.1703326
MEDIUM,2,15,4,426.1078441
LOW,2,15,5,607.5401891
MEDIUM,2,15,3,350.7185767
MEDIUM,2,15,4,389.583007
MEDIUM,2,15,4,353.3366491
LOW,2,15,5,438.9939197
LOW,2,15,5,533.9863301
MEDIUM,2,15,4,395.7335241
LOW,2,15,5,570.6562882
MEDIUM,2,15,4,360.6920089
HIGH,2,15,2,219.0572719
MEDIUM,2,15,3,309.7568362
MEDIUM,2,15,4,405.144769
HIGH,2,15,2,227.2845457
LOW,2,15,5,530.0658753
LOW,2,15,6,949.4190915
LOW,2,15,5,551.2407443
HIGH,2,15,2,212.2103974
LOW,2,15,6,592.6867973
LOW,2,15,5,567.0459823
MEDIUM,2,15,4,365.2374819
MEDIUM,2,15,3,408.0600028
MEDIUM,2,15,3,329.3072389
MEDIUM,3,14,4,578.9224922
MEDIUM,3,14,4,375.4823566
MEDIUM,3,14,4,460.2287686
MEDIUM,3,14,4,411.8747563
HIGH,3,14,2,278.0312285
LOW,3,14,5,522.8983192
HIGH,3,14,2,203.0687141
MEDIUM,3,14,3,354.0618789
MEDIUM,3,14,4,414.7302942
MEDIUM,3,14,4,275.823789
LOW,3,14,6,672.415742
LOW,3,14,5,580.0801236
LOW,3,14,5,604.6510492
MEDIUM,3,14,3,306.7194993
HIGH,3,14,2,212.5778922
MEDIUM,3,14,4,570.6093034
MEDIUM,3,14,3,296.8403224
MEDIUM,3,14,3,240.392716
HIGH,3,14,2,271.4978543
HIGH,3,14,2,190.3830126
LOW,3,14,6,636.9629321
HIGH,3,14,2,190.326451
HIGH,3,14,2,218.8769065
MEDIUM,3,14,4,429.2107528
MEDIUM,3,14,4,347.2770246
LOW,3,14,6,767.3706619
HIGH,3,14,2,243.6669387
LOW,3,14,6,538.2019313
HIGH,3,14,5,527.5816045
HIGH,3,14,2,184.2997554
LOW,3,14,5,356.0626393
MEDIUM,3,14,3,406.7603897
LOW,3,14,5,451.0185327
MEDIUM,3,14,4,354.4821353
HIGH,3,14,2,255.0348883
MEDIUM,3,14,4,576.4096278
MEDIUM,3,21,3,342.4913419
MEDIUM,3,6,2,272.9919011
MEDIUM,3,6,2,166.2065584
LOW,3,6,6,375.8439337
MEDIUM,3,6,4,390.1420859
MEDIUM,3,6,2,192.730349
LOW,3,6,6,533.0371377
MEDIUM,3,6,4,433.5347546
MEDIUM,3,6,3,316.5191406
MEDIUM,3,6,3,316.1419373
MEDIUM,3,6,2,320.0734075
MEDIUM,3,6,2,224.3824751
MEDIUM,3,6,2,225.0192458
MEDIUM,3,6,3,330.2241372
MEDIUM,3,6,3,418.9635637
MEDIUM,3,6,4,506.5995389
LOW,3,6,6,616.3219597
LOW,3,6,6,540.2916004
LOW,3,6,5,609.2152312
MEDIUM,3,6,2,228.1512514
HIGH,3,6,2,240.11912
MEDIUM,3,6,3,320.3515844
MEDIUM,3,6,2,235.8541078
HIGH,3,6,3,330.3239539
MEDIUM,3,6,4,259.1540756
MEDIUM,3,6,4,358.846389
LOW,3,6,5,620.0895177
MEDIUM,3,6,3,335.9600555
LOW,2,23,6,446.4790912
LOW,2,23,5,338.7317653
LOW,2,23,5,248.9037705
LOW,2,23,4,551.5971911
MEDIUM,3,17,4,367.0581533
MEDIUM,3,17,6,657.6254859
HIGH,3,17,2,274.7956547
LOW,3,17,6,536.7510018
MEDIUM,3,6,3,240.751419
MEDIUM,3,6,3,216.3846913
LOW,3,6,5,585.1447638
MEDIUM,3,6,2,202.7965485
MEDIUM,3,6,2,273.5643103
MEDIUM,3,6,2,184.1922429
HIGH,3,6,6,536.1851273
MEDIUM,3,6,2,143.5109919
HIGH,3,6,2,130.5168149
MEDIUM,3,6,4,401.5119829
LOW,3,6,5,612.9366432
MEDIUM,3,6,2,239.5900846
MEDIUM,3,6,2,139.4776588
HIGH,3,6,4,318.3297018
MEDIUM,3,6,4,473.994876
LOW,3,6,6,627.3400495
MEDIUM,3,6,4,378.7740294
LOW,3,6,5,476.7103608
HIGH,3,6,2,252.2603515
HIGH,3,6,5,611.070956
MEDIUM,3,6,3,235.0986386
LOW,3,6,6,650.8428219
MEDIUM,3,6,4,448.2838143
MEDIUM,3,6,3,358.7823973
LOW,3,6,5,504.8699254
MEDIUM,3,6,3,345.8425141
MEDIUM,3,6,3,321.7706264
LOW,3,6,6,736.7332682
MEDIUM,3,6,2,242.3135275
MEDIUM,3,6,2,168.3586811
MEDIUM,3,6,4,489.8513259
MEDIUM,3,6,3,247.7139196
LOW,3,6,5,534.0560371
LOW,3,6,6,561.240871
HIGH,2,22,6,572.1090883
MEDIUM,2,22,3,385.973275
LOW,2,22,4,509.5357161
HIGH,2,22,6,917.977866
MEDIUM,2,22,2,183.8047257
LOW,2,22,4,598.8622596
LOW,2,22,5,649.4908095
MEDIUM,2,22,3,224.8237879
LOW,2,22,4,448.0300266
LOW,2,22,6,540.9993113
MEDIUM,2,22,3,384.2581275
LOW,2,22,5,540.2217199
MEDIUM,2,22,3,268.7872115
MEDIUM,2,22,2,138.2751372
LOW,2,22,6,787.9773225
LOW,2,22,6,634.7760428
HIGH,2,15,6,499.0610614
LOW,2,15,5,544.3051953
LOW,2,15,5,562.9452651
MEDIUM,2,15,3,360.1644864
LOW,2,15,5,558.5585621
LOW,2,15,6,717.0570988
MEDIUM,2,15,4,286.0430469
MEDIUM,2,15,4,481.7575919
HIGH,2,15,2,222.3947077
MEDIUM,2,15,3,249.2207792
MEDIUM,2,15,4,262.1848218
HIGH,2,15,6,603.5962948
MEDIUM,2,15,3,308.6153493
MEDIUM,2,15,3,362.9343866
LOW,3,6,5,348.42416
LOW,3,6,5,725.1570079
MEDIUM,3,6,2,201.669497
MEDIUM,3,6,2,161.5004215
MEDIUM,3,6,2,131.9354442
MEDIUM,3,6,4,569.0258212
LOW,3,6,5,643.2761443
LOW,3,6,6,465.0605153
LOW,3,6,6,396.1733775
MEDIUM,3,6,2,220.7183598
LOW,3,6,6,548.7092952
LOW,3,6,6,449.4844666
MEDIUM,3,6,2,189.5823281
MEDIUM,3,6,3,380.522787
MEDIUM,3,6,3,288.3667386
MEDIUM,3,6,4,373.9735137
MEDIUM,3,6,4,538.3550769
LOW,3,6,6,532.3049604
MEDIUM,3,6,5,530.6049266
LOW,3,6,6,475.194591
MEDIUM,3,6,4,366.6269723
MEDIUM,3,6,4,471.7086704
LOW,3,6,5,470.1194662
MEDIUM,3,6,2,225.1152509
MEDIUM,3,6,3,192.0091786
MEDIUM,3,6,5,543.6454315
MEDIUM,3,6,2,299.0859393
MEDIUM,3,6,3,355.9011566
MEDIUM,2,23,2,202.7582731
LOW,2,23,5,504.7115022
LOW,2,23,5,398.4107493
MEDIUM,2,23,2,135.825851
MEDIUM,2,23,3,369.5415584
LOW,2,23,6,795.8968928
LOW,2,23,6,607.7271767
LOW,2,23,6,584.646875
MEDIUM,2,23,3,255.1160031
LOW,2,23,6,628.447929
LOW,2,23,5,501.1682704
LOW,2,23,4,347.4996668
LOW,2,23,5,506.1782813
LOW,2,23,6,434.5450875
LOW,2,23,5,636.5645397
LOW,2,23,5,315.9454182
LOW,2,23,5,564.3186817
LOW,2,23,6,776.7641079
MEDIUM,2,23,3,154.777396
LOW,2,23,4,328.4770836
LOW,2,23,6,742.0397942
LOW,2,23,6,624.0760752
LOW,2,23,6,474.1624885
MEDIUM,2,23,2,151.1658017
LOW,2,23,5,643.5041672
MEDIUM,2,23,2,201.5216515
MEDIUM,2,23,3,241.359847
LOW,2,23,6,481.0668797
MEDIUM,2,23,3,458.2954761
HIGH,2,23,2,144.3095881
HIGH,2,23,4,453.1299321
LOW,2,23,5,601.6738079
MEDIUM,3,10,4,445.6717533
LOW,3,10,5,312.1183521
HIGH,3,10,2,208.7801489
MEDIUM,3,10,4,396.1184608
LOW,3,10,5,371.953348
HIGH,3,10,6,577.6884074
HIGH,3,10,2,218.5431044
HIGH,3,10,2,211.1773817
MEDIUM,3,10,4,391.0070393
MEDIUM,3,10,4,396.3161955
LOW,3,10,5,458.2851628
LOW,3,10,6,600.6966424
LOW,3,10,5,566.1579607
MEDIUM,3,10,3,265.5330947
LOW,3,10,6,548.4094986
LOW,3,10,5,431.8027949
LOW,3,10,5,340.8858745
MEDIUM,3,10,3,231.38752
MEDIUM,3,10,4,309.2746552
MEDIUM,3,10,4,364.3043543
HIGH,3,10,2,232.3672996
MEDIUM,3,10,4,410.0804828
HIGH,3,10,2,205.5259386
MEDIUM,3,10,3,417.6087483
LOW,3,10,5,469.078482
MEDIUM,3,10,4,529.7384222
HIGH,3,10,2,246.2048797
LOW,3,10,5,447.6125603
MEDIUM,3,10,3,376.1946822
MEDIUM,2,15,4,425.4962535
MEDIUM,2,15,2,169.2886999
MEDIUM,3,6,3,218.6052171
LOW,3,6,6,505.98853
MEDIUM,3,6,3,241.5741337
MEDIUM,3,6,4,391.7951065
MEDIUM,3,6,4,591.5863187
MEDIUM,3,6,4,433.6134758
MEDIUM,3,6,3,367.0936894
MEDIUM,3,6,4,379.977622
LOW,3,6,5,589.2399701
LOW,3,6,6,750.2009275
LOW,3,6,6,630.8811408
MEDIUM,3,6,3,330.2528219
MEDIUM,3,6,4,397.7995049
MEDIUM,3,6,3,241.1530447
MEDIUM,3,6,4,385.5479743
MEDIUM,3,6,3,365.9170448
LOW,3,6,5,557.1340655
MEDIUM,3,6,2,186.7758988
LOW,3,6,6,739.4588154
LOW,3,6,5,485.7033315
LOW,3,6,5,587.9056637
LOW,3,6,5,668.7090113
MEDIUM,3,6,2,153.0556311
MEDIUM,3,6,4,373.4738791
MEDIUM,3,6,3,329.0715629
MEDIUM,3,6,3,218.8272327
MEDIUM,3,6,4,441.7385177
MEDIUM,3,6,5,614.8929703
MEDIUM,3,6,2,167.0716904
MEDIUM,3,6,2,146.115151
LOW,3,6,5,410.3295167
MEDIUM,3,6,3,281.5682069
LOW,3,6,6,645.1403941
MEDIUM,3,10,4,453.1166847
HIGH,3,10,2,156.7986453
LOW,3,10,6,674.8356195
LOW,3,10,5,651.5896103
LOW,3,10,6,628.4294563
MEDIUM,3,2,2,232.9287855
LOW,3,2,4,447.5674698
LOW,3,2,5,503.8810055
LOW,3,2,6,609.252409
LOW,3,2,4,380.2626851
MEDIUM,3,2,3,236.2282014
LOW,3,2,6,703.7061091
LOW,3,2,4,329.9155892
MEDIUM,3,2,3,331.4617546
LOW,3,2,6,659.5261192
LOW,3,2,6,565.5531553
LOW,3,2,4,528.7616194
MEDIUM,3,2,3,345.6125282
LOW,3,2,6,462.9672419
LOW,3,2,5,620.5751715
MEDIUM,3,2,2,221.484475
LOW,3,2,5,525.5422581
MEDIUM,3,2,2,203.4705848
LOW,3,2,4,405.2277637
LOW,3,2,6,647.9858796
MEDIUM,3,2,3,294.3269506
MEDIUM,3,2,2,174.8418594
LOW,3,2,6,378.2568454
HIGH,3,2,2,285.1830541
MEDIUM,3,2,3,305.3771171
MEDIUM,3,2,2,225.8640257
LOW,3,2,5,504.1492023
MEDIUM,3,2,3,268.7275769
MEDIUM,3,2,3,334.9156935
MEDIUM,3,2,2,257.873965
LOW,3,2,5,397.2413744
MEDIUM,3,2,2,187.6677118
LOW,3,2,6,541.9645038
LOW,3,2,5,566.8084071
LOW,3,2,6,605.185221
LOW,3,13,6,435.1412479
HIGH,3,13,2,238.4722001
LOW,3,13,5,490.0113529
HIGH,3,13,2,168.3502902
MEDIUM,3,13,4,407.9567241
HIGH,3,13,2,270.5225587
MEDIUM,3,13,4,188.4473411
MEDIUM,2,22,3,398.2019159
LOW,2,22,6,850.5748368
HIGH,2,22,3,296.146072
LOW,2,22,4,359.5016132
LOW,2,22,4,389.6645202
MEDIUM,2,22,3,201.353119
LOW,2,22,4,355.7314599
MEDIUM,2,22,2,226.9291034
LOW,2,22,4,307.8707782
HIGH,2,22,4,387.5862731
LOW,2,22,4,183.8397706
MEDIUM,2,22,3,260.1637747
MEDIUM,2,22,3,314.7354058
MEDIUM,2,22,2,211.6984137
LOW,2,22,6,505.5832597
LOW,2,22,4,401.6920942
MEDIUM,2,22,2,120.1697109
MEDIUM,2,22,2,232.2515443
LOW,2,22,5,588.6567206
LOW,2,22,4,429.3190246
MEDIUM,3,13,4,503.368686
MEDIUM,3,13,3,276.9696199
MEDIUM,3,13,4,346.3377549
LOW,3,13,5,514.9551646
LOW,3,13,5,480.7490489
HIGH,3,13,2,237.7166164
LOW,3,13,6,488.8009152
LOW,3,13,6,518.0255166
HIGH,3,13,2,215.3359106
HIGH,3,13,2,142.7397597
MEDIUM,3,13,4,482.4391586
MEDIUM,3,13,4,319.678152
MEDIUM,3,13,4,268.1138957
MEDIUM,3,13,4,204.346272
LOW,3,13,5,591.3748615
MEDIUM,3,13,4,327.8911461
LOW,3,13,5,479.6632559
HIGH,3,13,2,190.9976384
HIGH,3,13,2,213.2076585
MEDIUM,3,13,4,399.1241729
LOW,3,13,6,662.9011179
MEDIUM,3,13,3,254.2071715
MEDIUM,3,13,3,392.8270651
LOW,3,13,5,625.5534431
MEDIUM,3,13,3,335.9421777
LOW,3,13,5,562.3706036
MEDIUM,3,13,4,424.3954712
MEDIUM,3,13,4,374.0008845
LOW,3,13,6,748.505707
MEDIUM,3,6,2,259.2952688
MEDIUM,3,14,4,492.689906
MEDIUM,3,14,3,294.9359052
HIGH,3,14,2,253.1577193
HIGH,3,14,2,221.1536519
HIGH,3,14,2,261.9344563
LOW,3,14,6,722.9228052
MEDIUM,3,14,4,417.6251323
HIGH,3,14,2,246.2681691
MEDIUM,3,14,3,290.741901
LOW,3,14,6,496.7911158
MEDIUM,3,14,3,251.2360073
LOW,3,14,6,456.2889733
LOW,3,14,5,373.5091469
MEDIUM,3,14,3,316.3503127
MEDIUM,3,14,4,490.9533463
LOW,3,14,6,714.9142251
HIGH,3,14,2,226.0086606
HIGH,3,14,4,484.8458571
MEDIUM,3,14,4,324.7461066
MEDIUM,3,14,4,427.0013605
MEDIUM,3,14,6,695.1338472
MEDIUM,3,14,4,317.2023295
MEDIUM,3,14,3,309.841046
LOW,3,14,5,505.7724241
HIGH,3,14,3,262.4688161
LOW,3,14,5,382.2521452
MEDIUM,3,14,3,370.1231238
HIGH,3,14,2,205.933517
HIGH,3,14,2,166.9554348
MEDIUM,3,14,4,420.5090849
HIGH,3,14,2,197.1162884
LOW,3,14,5,445.6441355
LOW,3,14,5,443.7379492
MEDIUM,3,14,4,410.2053845
LOW,3,14,5,633.4125552
LOW,3,21,6,615.9503984
LOW,3,21,4,329.7953087
MEDIUM,3,21,4,290.0893244
HIGH,3,21,6,747.2854428
LOW,3,21,5,302.0190164
MEDIUM,3,21,2,164.6602471
HIGH,3,21,2,158.3399963
LOW,3,21,5,528.8983375
MEDIUM,3,21,3,282.0263034
MEDIUM,3,21,3,390.5284674
LOW,3,21,4,449.6970493
LOW,3,21,4,340.9737445
MEDIUM,3,21,3,261.2639013
LOW,3,21,5,525.5361316
LOW,3,21,5,521.0113298
LOW,3,21,4,257.0709663
LOW,3,21,6,674.8737286
MEDIUM,3,6,4,400.3997344
MEDIUM,3,6,2,229.8270297
MEDIUM,3,6,2,216.4141364
MEDIUM,3,6,2,139.6494985
MEDIUM,3,6,3,306.5312583
LOW,3,6,5,701.9941729
LOW,3,6,5,324.4842537
LOW,3,6,5,467.0248454
MEDIUM,3,6,2,203.0946801
MEDIUM,3,6,6,354.1457871
MEDIUM,3,14,4,401.0048266
LOW,3,14,5,567.2902666
LOW,3,14,5,598.3188313
MEDIUM,3,14,4,437.1378305
LOW,3,14,6,676.7118769
LOW,3,14,5,481.4584737
LOW,3,14,6,815.3934771
HIGH,3,14,2,229.129498
LOW,3,14,6,538.5806836
MEDIUM,3,14,3,202.2857505
MEDIUM,3,14,4,432.6998831
HIGH,3,14,2,216.1601446
LOW,3,14,5,565.0895939
HIGH,3,14,2,254.882586
LOW,3,14,6,663.7935064
LOW,3,14,5,506.9087597
LOW,3,14,5,523.2954333
MEDIUM,3,14,4,394.739901
HIGH,3,14,2,152.2773069
LOW,3,14,6,693.2051227
LOW,3,14,5,428.6177767
HIGH,3,14,2,241.3885971
LOW,3,14,6,631.6469864
LOW,3,14,5,618.5195087
HIGH,3,14,2,215.2948593
LOW,3,14,6,581.3429866
LOW,3,14,5,653.3127486
MEDIUM,3,14,5,545.6077382
MEDIUM,3,14,3,314.3840153
MEDIUM,3,14,3,263.6022534
HIGH,3,14,5,531.8621455
MEDIUM,3,14,3,426.9783251
HIGH,3,14,2,161.2480335
MEDIUM,3,6,5,512.1334049
MEDIUM,3,6,2,206.8286418
MEDIUM,3,6,3,260.3430823
MEDIUM,3,6,4,326.6503377
HIGH,3,6,5,378.5522053
MEDIUM,3,6,4,394.2659234
MEDIUM,3,6,3,349.1407135
LOW,3,6,5,354.591863
MEDIUM,3,10,4,527.2844568
LOW,3,10,5,580.0864638
MEDIUM,3,10,3,359.3991698
LOW,3,10,5,528.013233
MEDIUM,3,10,4,363.1016706
HIGH,3,10,2,231.2776383
LOW,3,10,5,574.3706014
